SK_ID_CURR,TARGET
100001,0.05
100005,0.114
100013,0.108
100028,0.062
100038,0.216
100042,0.104
100057,0.046
100065,0.086
100066,0.062
100067,0.184
100074,0.12
100090,0.088
100091,0.07
100092,0.162
100106,0.136
100107,0.194
100109,0.096
100117,0.066
100128,0.132
100141,0.11
100150,0.046
100168,0.094
100169,0.066
100170,0.078
100171,0.098
100172,0.146
100184,0.118
100187,0.09
100212,0.146
100222,0.13
100223,0.078
100232,0.054
100241,0.198
100245,0.052
100253,0.06
100256,0.132
100271,0.096
100278,0.314
100280,0.088
100306,0.174
100311,0.118
100312,0.13
100330,0.208
100331,0.136
100352,0.152
100358,0.11
100367,0.074
100382,0.156
100384,0.186
100385,0.164
100386,0.062
100399,0.076
100404,0.156
100416,0.128
100422,0.102
100426,0.11
100438,0.082
100444,0.114
100445,0.142
100446,0.17
100447,0.094
100450,0.156
100466,0.052
100483,0.086
100484,0.122
100494,0.106
100510,0.138
100512,0.11
100517,0.068
100548,0.068
100551,0.086
100552,0.14
100553,0.086
100561,0.152
100568,0.262
100569,0.096
100591,0.12
100592,0.046
100602,0.102
100607,0.06
100613,0.152
100617,0.126
100618,0.156
100622,0.164
100625,0.162
100677,0.144
100699,0.08
100702,0.254
100711,0.156
100729,0.156
100740,0.168
100744,0.196
100745,0.126
100747,0.17
100751,0.222
100752,0.178
100753,0.172
100754,0.124
100760,0.074
100762,0.112
100763,0.14
100765,0.068
100770,0.136
100772,0.09
100777,0.086
100791,0.04
100792,0.048
100797,0.096
100823,0.104
100826,0.052
100830,0.068
100836,0.288
100872,0.1
100910,0.148
100913,0.188
100918,0.194
100931,0.034
100952,0.15
100953,0.132
100965,0.248
100970,0.082
100982,0.154
100983,0.156
100984,0.08
100987,0.16
100997,0.074
100998,0.162
101002,0.09
101005,0.218
101008,0.224
101020,0.124
101021,0.082
101024,0.222
101025,0.22
101026,0.068
101031,0.062
101041,0.05
101051,0.05
101055,0.138
101056,0.262
101057,0.082
101064,0.092
101079,0.134
101087,0.058
101090,0.074
101092,0.194
101097,0.162
101099,0.064
101107,0.166
101118,0.078
101125,0.14
101126,0.052
101128,0.13
101136,0.152
101140,0.126
101149,0.094
101160,0.084
101169,0.274
101181,0.104
101186,0.068
101190,0.126
101193,0.152
101194,0.16
101198,0.19
101200,0.11
101204,0.102
101211,0.066
101213,0.142
101223,0.096
101225,0.142
